0;1;600;200;3000;1;3000
0;2;600;200;3000;1;3000
1;3;600;200;3000;1;3000
1;4;600;200;3000;1;3000
2;5;600;200;3000;1;3000
2;6;600;200;3000;1;3000
3;7;600;200;3000;1;3000
3;8;600;200;3000;1;3000
4;13;600;200;3000;1;3000
5;9;600;200;3000;1;3000
6;15;600;200;3000;1;3000
6;10;600;200;3000;1;3000
7;11;600;200;3000;1;3000
8;12;600;200;3000;1;3000
8;13;600;200;3000;1;3000
9;14;600;200;3000;1;3000
9;15;600;200;3000;1;3000
10;16;600;200;3000;1;3000
11;17;600;200;3000;1;3000
11;18;600;200;3000;1;3000
12;18;600;200;3000;1;3000
13;19;600;200;3000;1;3000
14;19;600;200;3000;1;3000
15;20;600;200;3000;1;3000
16;23;600;200;3000;1;3000
17;21;600;200;3000;1;3000
18;24;600;200;3000;1;3000
19;22;600;200;3000;1;3000
20;25;600;200;3000;1;3000
20;23;600;200;3000;1;3000
21;24;600;200;3000;1;3000
22;25;600;200;3000;1;3000
23;26;600;200;3000;1;3000
24;27;600;200;3000;1;3000
25;28;600;200;3000;1;3000
25;29;600;200;3000;1;3000
26;30;600;200;3000;1;3000
27;31;600;200;3000;1;3000
28;32;600;200;3000;1;3000
29;33;600;200;3000;1;3000
30;33;600;200;3000;1;3000
31;35;600;200;3000;1;3000
32;34;600;200;3000;1;3000
33;34;600;200;3000;1;3000
34;35;600;200;3000;1;3000
